0.8395 | (40, 40) | 8 | (20, 20) | (2, 2) | L1 | linear | ovr | _feature_vectors_image-size=40*40_block-size=2*2_block-norm=L1_cell-size=20*20_orientations=8.tiff
0.8395 | (40, 40) | 8 | (20, 20) | (2, 2) | L1 | linear | ovo | _feature_vectors_image-size=40*40_block-size=2*2_block-norm=L1_cell-size=20*20_orientations=8.tiff
0.9165 | (40, 40) | 8 | (20, 20) | (2, 2) | L1 | rbf | ovr | _feature_vectors_image-size=40*40_block-size=2*2_block-norm=L1_cell-size=20*20_orientations=8.tiff
0.9165 | (40, 40) | 8 | (20, 20) | (2, 2) | L1 | rbf | ovo | _feature_vectors_image-size=40*40_block-size=2*2_block-norm=L1_cell-size=20*20_orientations=8.tiff
0.8645 | (40, 40) | 8 | (20, 20) | (2, 2) | L2 | linear | ovr | _feature_vectors_image-size=40*40_block-size=2*2_block-norm=L2_cell-size=20*20_orientations=8.tiff
0.8645 | (40, 40) | 8 | (20, 20) | (2, 2) | L2 | linear | ovo | _feature_vectors_image-size=40*40_block-size=2*2_block-norm=L2_cell-size=20*20_orientations=8.tiff
0.918 | (40, 40) | 8 | (20, 20) | (2, 2) | L2 | rbf | ovr | _feature_vectors_image-size=40*40_block-size=2*2_block-norm=L2_cell-size=20*20_orientations=8.tiff
0.918 | (40, 40) | 8 | (20, 20) | (2, 2) | L2 | rbf | ovo | _feature_vectors_image-size=40*40_block-size=2*2_block-norm=L2_cell-size=20*20_orientations=8.tiff
0.951 | (40, 40) | 10 | (10, 10) | (1, 1) | L1 | linear | ovr | _feature_vectors_image-size=40*40_block-size=1*1_block-norm=L1_cell-size=10*10_orientations=10.tiff
0.951 | (40, 40) | 10 | (10, 10) | (1, 1) | L1 | linear | ovo | _feature_vectors_image-size=40*40_block-size=1*1_block-norm=L1_cell-size=10*10_orientations=10.tiff
0.97 | (40, 40) | 10 | (10, 10) | (1, 1) | L1 | rbf | ovr | _feature_vectors_image-size=40*40_block-size=1*1_block-norm=L1_cell-size=10*10_orientations=10.tiff
0.97 | (40, 40) | 10 | (10, 10) | (1, 1) | L1 | rbf | ovo | _feature_vectors_image-size=40*40_block-size=1*1_block-norm=L1_cell-size=10*10_orientations=10.tiff
0.9575 | (40, 40) | 10 | (10, 10) | (1, 1) | L2 | linear | ovr | _feature_vectors_image-size=40*40_block-size=1*1_block-norm=L2_cell-size=10*10_orientations=10.tiff
0.9575 | (40, 40) | 10 | (10, 10) | (1, 1) | L2 | linear | ovo | _feature_vectors_image-size=40*40_block-size=1*1_block-norm=L2_cell-size=10*10_orientations=10.tiff
0.9745 | (40, 40) | 10 | (10, 10) | (1, 1) | L2 | rbf | ovr | _feature_vectors_image-size=40*40_block-size=1*1_block-norm=L2_cell-size=10*10_orientations=10.tiff
0.9745 | (40, 40) | 10 | (10, 10) | (1, 1) | L2 | rbf | ovo | _feature_vectors_image-size=40*40_block-size=1*1_block-norm=L2_cell-size=10*10_orientations=10.tiff
0.958 | (40, 40) | 10 | (10, 10) | (2, 2) | L1 | linear | ovr | _feature_vectors_image-size=40*40_block-size=2*2_block-norm=L1_cell-size=10*10_orientations=10.tiff
0.958 | (40, 40) | 10 | (10, 10) | (2, 2) | L1 | linear | ovo | _feature_vectors_image-size=40*40_block-size=2*2_block-norm=L1_cell-size=10*10_orientations=10.tiff
0.981 | (40, 40) | 10 | (10, 10) | (2, 2) | L1 | rbf | ovr | _feature_vectors_image-size=40*40_block-size=2*2_block-norm=L1_cell-size=10*10_orientations=10.tiff
0.981 | (40, 40) | 10 | (10, 10) | (2, 2) | L1 | rbf | ovo | _feature_vectors_image-size=40*40_block-size=2*2_block-norm=L1_cell-size=10*10_orientations=10.tiff
0.966 | (40, 40) | 10 | (10, 10) | (2, 2) | L2 | linear | ovr | _feature_vectors_image-size=40*40_block-size=2*2_block-norm=L2_cell-size=10*10_orientations=10.tiff
0.966 | (40, 40) | 10 | (10, 10) | (2, 2) | L2 | linear | ovo | _feature_vectors_image-size=40*40_block-size=2*2_block-norm=L2_cell-size=10*10_orientations=10.tiff
0.9825 | (40, 40) | 10 | (10, 10) | (2, 2) | L2 | rbf | ovr | _feature_vectors_image-size=40*40_block-size=2*2_block-norm=L2_cell-size=10*10_orientations=10.tiff
0.9825 | (40, 40) | 10 | (10, 10) | (2, 2) | L2 | rbf | ovo | _feature_vectors_image-size=40*40_block-size=2*2_block-norm=L2_cell-size=10*10_orientations=10.tiff
0.8505 | (40, 40) | 10 | (20, 20) | (1, 1) | L1 | linear | ovr | _feature_vectors_image-size=40*40_block-size=1*1_block-norm=L1_cell-size=20*20_orientations=10.tiff
0.8505 | (40, 40) | 10 | (20, 20) | (1, 1) | L1 | linear | ovo | _feature_vectors_image-size=40*40_block-size=1*1_block-norm=L1_cell-size=20*20_orientations=10.tiff
0.9155 | (40, 40) | 10 | (20, 20) | (1, 1) | L1 | rbf | ovr | _feature_vectors_image-size=40*40_block-size=1*1_block-norm=L1_cell-size=20*20_orientations=10.tiff
0.9155 | (40, 40) | 10 | (20, 20) | (1, 1) | L1 | rbf | ovo | _feature_vectors_image-size=40*40_block-size=1*1_block-norm=L1_cell-size=20*20_orientations=10.tiff
0.88 | (40, 40) | 10 | (20, 20) | (1, 1) | L2 | linear | ovr | _feature_vectors_image-size=40*40_block-size=1*1_block-norm=L2_cell-size=20*20_orientations=10.tiff
0.88 | (40, 40) | 10 | (20, 20) | (1, 1) | L2 | linear | ovo | _feature_vectors_image-size=40*40_block-size=1*1_block-norm=L2_cell-size=20*20_orientations=10.tiff
0.914 | (40, 40) | 10 | (20, 20) | (1, 1) | L2 | rbf | ovr | _feature_vectors_image-size=40*40_block-size=1*1_block-norm=L2_cell-size=20*20_orientations=10.tiff
0.914 | (40, 40) | 10 | (20, 20) | (1, 1) | L2 | rbf | ovo | _feature_vectors_image-size=40*40_block-size=1*1_block-norm=L2_cell-size=20*20_orientations=10.tiff
0.8415 | (40, 40) | 10 | (20, 20) | (2, 2) | L1 | linear | ovr | _feature_vectors_image-size=40*40_block-size=2*2_block-norm=L1_cell-size=20*20_orientations=10.tiff
0.8415 | (40, 40) | 10 | (20, 20) | (2, 2) | L1 | linear | ovo | _feature_vectors_image-size=40*40_block-size=2*2_block-norm=L1_cell-size=20*20_orientations=10.tiff
0.92 | (40, 40) | 10 | (20, 20) | (2, 2) | L1 | rbf | ovr | _feature_vectors_image-size=40*40_block-size=2*2_block-norm=L1_cell-size=20*20_orientations=10.tiff
0.92 | (40, 40) | 10 | (20, 20) | (2, 2) | L1 | rbf | ovo | _feature_vectors_image-size=40*40_block-size=2*2_block-norm=L1_cell-size=20*20_orientations=10.tiff
0.864 | (40, 40) | 10 | (20, 20) | (2, 2) | L2 | linear | ovr | _feature_vectors_image-size=40*40_block-size=2*2_block-norm=L2_cell-size=20*20_orientations=10.tiff
0.864 | (40, 40) | 10 | (20, 20) | (2, 2) | L2 | linear | ovo | _feature_vectors_image-size=40*40_block-size=2*2_block-norm=L2_cell-size=20*20_orientations=10.tiff
0.9215 | (40, 40) | 10 | (20, 20) | (2, 2) | L2 | rbf | ovr | _feature_vectors_image-size=40*40_block-size=2*2_block-norm=L2_cell-size=20*20_orientations=10.tiff
0.9215 | (40, 40) | 10 | (20, 20) | (2, 2) | L2 | rbf | ovo | _feature_vectors_image-size=40*40_block-size=2*2_block-norm=L2_cell-size=20*20_orientations=10.tiff
0.9825 | (40, 40) | 10 | (10, 10) | (2, 2) | L2 | rbf | ovr | _feature_vectors_image-size=40*40_block-size=2*2_block-norm=L2_cell-size=10*10_orientations=10.tiff
